year,imdb,title,clean_test,clean_test_numeric,binary,budget,Country,Genre,isAction,isCrime,isUSFilm,Production,RT_Score
2009,tt1001508,He&#39;s Just Not That Into You,ok,3,PASS,40000000,"Germany, USA","Comedy, Drama, Romance",FALSE,FALSE,TRUE,Warner Bros. Pictures/New Line Cinema,40
2009,tt1024744,I Come with the Rain,nowomen,0,FAIL,18000000,"France, Hong Kong, Ireland, Spain, UK",Thriller,FALSE,FALSE,FALSE,LeBrocquy Fraser Prods.,-1
2009,tt1045772,I Love You Phillip Morris,notalk,1,FAIL,13000000,"France, USA","Biography, Comedy, Crime, Drama, Romance",FALSE,TRUE,TRUE,Roadside Attractions,71
2009,tt1155056,"I Love You, Man",men,2,FAIL,40000000,USA,"Comedy, Romance",FALSE,FALSE,TRUE,Dreamworks/Paramount,83
2009,tt1080016,Ice Age: Dawn of the Dinosaurs,notalk,1,FAIL,90000000,USA,"Animation, Adventure, Comedy, Family",FALSE,FALSE,TRUE,20th Century Fox/Emerging Pictures,46
2009,tt1057500,Invictus,notalk,1,FAIL,49000000,USA,"Biography, Drama, History, Sport",FALSE,FALSE,TRUE,Warner Bros. Pictures,76
2009,tt1230414,It&#39;s Complicated,ok,3,PASS,85000000,"USA, Japan","Comedy, Drama, Romance",FALSE,FALSE,TRUE,Universal Pictures,58
2009,tt1131734,Jennifer&#39;s Body,ok,3,PASS,16000000,USA,"Comedy, Horror",FALSE,FALSE,TRUE,20th Century Fox,44
2009,tt1135503,Julie &amp; Julia,ok,3,PASS,40000000,USA,"Biography, Drama, Romance",FALSE,FALSE,TRUE,Sony/Columbia Pictures,76
2009,tt0448011,Knowing,notalk,1,FAIL,50000000,"USA, UK, Australia","Action, Drama, Mystery, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Summit Entertainment,33
2009,tt1197624,Law Abiding Citizen,notalk,1,FAIL,53000000,USA,"Crime, Drama, Thriller",FALSE,TRUE,TRUE,Overture Films,26
2009,tt0808526,Life During Wartime,ok,3,PASS,4500000,USA,"Comedy, Drama",FALSE,FALSE,TRUE,IFC Films,69
2009,tt1182345,Moon,notalk,1,FAIL,5000000,"UK, USA","Drama, Mystery, Sci-Fi",FALSE,FALSE,TRUE,Sony Pictures Classics,90
2009,tt1121977,Mother and Child,ok,3,PASS,7000000,"USA, Spain","Drama, Romance",FALSE,FALSE,TRUE,Sony Pictures Classics,78
2009,tt1179891,My Bloody Valentine 3D,men,2,FAIL,14000000,USA,"Horror, Mystery, Thriller",FALSE,FALSE,TRUE,Lionsgate Films,60
2009,tt1078588,My Sister&#39;s Keeper,ok,3,PASS,27500000,USA,"Drama, Family",FALSE,FALSE,TRUE,Warner Bros. Pictures,48
2009,tt0875034,Nine,men,2,FAIL,80000000,"UK, USA","Drama, Musical, Romance",FALSE,FALSE,TRUE,The Weinstein Co.,40
2009,tt1186367,Ninja Assassin,notalk,1,FAIL,50000000,"Germany, USA","Action, Thriller",TRUE,FALSE,TRUE,Warner Bros. Pictures/Dark Castle Ent.,25
2009,tt1235796,Ondine,ok,3,PASS,12000000,"Ireland, USA","Drama, Mystery, Romance",FALSE,FALSE,TRUE,Magnolia Pictures,69
2009,tt1532957,Paa,men,2,FAIL,4300000,India,"Comedy, Drama",FALSE,FALSE,FALSE,Big Pictures,43
2009,tt1188729,Pandorum,notalk,1,FAIL,40000000,"Germany, UK, USA","Action, Horror, Mystery, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Overture Films,28
2009,tt1003034,Perrier&#39;s Bounty,nowomen,0,FAIL,6600000,"Ireland, UK","Action, Comedy, Crime, Drama, Romance, Thriller",TRUE,TRUE,FALSE,IFC Films,56
2009,tt0762125,Planet 51,notalk,1,FAIL,60000000,"Spain, UK, USA","Animation, Adventure, Comedy, Family, Sci-Fi",FALSE,FALSE,TRUE,Sony Pictures/TriStar Pictures,22
2009,tt0929632,Precious: Based on the Novel Push by Sapphire,ok,3,PASS,10000000,USA,Drama,FALSE,FALSE,TRUE,Lionsgate Films,91
2009,tt1152836,Public Enemies,notalk,1,FAIL,102500000,"USA, Japan","Biography, Crime, Drama",FALSE,TRUE,TRUE,Universal Studios,68
2009,tt0465580,Push,ok,3,PASS,38000000,"USA, Canada","Action, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Summit Entertainment,23
2009,tt0988045,Sherlock Holmes,notalk,1,FAIL,90000000,"USA, Germany, UK","Action, Adventure, Crime, Mystery, Thriller",TRUE,TRUE,TRUE,Warner Bros. Pictures/Village Roadshow,70
2009,tt1017460,Splice,ok,3,PASS,30000000,"Canada, France, USA","Drama, Horror, Sci-Fi",FALSE,FALSE,TRUE,Warner Brothers,75
2009,tt0796366,Star Trek,ok,3,PASS,140000000,"USA, Germany","Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,IMAX,94
2009,tt0473705,State of Play,ok,3,PASS,60000000,"USA, UK, France","Crime, Drama, Mystery, Thriller",FALSE,TRUE,TRUE,Universal Pictures,84
2009,tt0986263,Surrogates,notalk,1,FAIL,80000000,USA,"Action, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Touchstone Pictures,37
2009,tt0438488,Terminator Salvation,men,2,FAIL,200000000,"USA, Germany, UK, Italy","Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Warner Bros. Pictures,33
2009,tt0878804,The Blind Side,men,2,FAIL,35000000,USA,"Biography, Drama, Sport",FALSE,FALSE,TRUE,Warner Bros. Pictures,66
2009,tt1131729,The Boat That Rocked,nowomen,0,FAIL,50000000,"UK, France, Germany","Comedy, Drama, Music",FALSE,FALSE,FALSE,Focus Features,62
2009,tt1300851,The Boondock Saints II: All Saints Day,nowomen,0,FAIL,8000000,USA,"Action, Crime, Thriller",TRUE,TRUE,TRUE,Apparition,23
2009,tt0362478,The Box,ok,3,PASS,25000000,USA,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",FALSE,FALSE,TRUE,Warner Bros. Pictures,44
2009,tt0896923,The City of Your Final Destination,ok,3,PASS,8300000,USA,"Drama, Romance",FALSE,FALSE,TRUE,Screen Media Films,38
2009,tt1144884,The Final Destination,ok,3,PASS,40000000,USA,"Horror, Thriller",FALSE,FALSE,TRUE,Warner Bros. Pictures,28
2009,tt1220198,The Fourth Kind,ok,3,PASS,10000000,"USA, UK","Mystery, Sci-Fi, Thriller",FALSE,FALSE,TRUE,Universal Pictures,18
2009,tt1247662,The Good Guy,ok,3,PASS,10000000,USA,"Comedy, Romance",FALSE,FALSE,TRUE,Roadside Attractions,35
2009,tt1119646,The Hangover,notalk,1,FAIL,35000000,"USA, Germany",Comedy,FALSE,FALSE,TRUE,Warner Bros. Pictures,78
2009,tt1054606,The Imaginarium of Doctor Parnassus,notalk,1,FAIL,30000000,"UK, Canada, France","Adventure, Comedy, Fantasy, Mystery",FALSE,FALSE,FALSE,Sony Pictures Classics,64
2009,tt1130080,The Informant!,notalk,1,FAIL,22000000,USA,"Biography, Comedy, Crime, Drama",FALSE,TRUE,TRUE,Warner Bros. Pictures,80
2009,tt1058017,The Invention of Lying,men,2,FAIL,18500000,USA,"Comedy, Fantasy, Romance",FALSE,FALSE,TRUE,Warner Bros. Pictures,56
2009,tt0824758,The Last Station,ok,3,PASS,18000000,"UK, Germany, Russia","Biography, Drama, Romance",FALSE,FALSE,FALSE,Sony Pictures Classics,71
2009,tt0380510,The Lovely Bones,ok,3,PASS,95000000,"USA, UK, New Zealand","Drama, Fantasy, Thriller",FALSE,FALSE,TRUE,Paramount Pictures,32
2009,tt1234548,The Men Who Stare at Goats,nowomen,0,FAIL,24000000,"USA, UK","Comedy, War",FALSE,FALSE,TRUE,Overture Films,51
2009,tt0790712,The Messenger,notalk,1,FAIL,6500000,USA,"Drama, Romance, War",FALSE,FALSE,TRUE,Oscilloscope Pictures,89
2009,tt0780521,The Princess and the Frog,ok,3,PASS,105000000,USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",FALSE,FALSE,TRUE,Walt Disney Pictures,85
2009,tt1041829,The Proposal,men,2,FAIL,40000000,USA,"Comedy, Drama, Romance",FALSE,FALSE,TRUE,Walt Disney Pictures,44
2009,tt0898367,The Road,notalk,1,FAIL,25000000,USA,"Adventure, Drama",FALSE,FALSE,TRUE,The Weinstein Co./Dimension,73
2009,tt0485601,The Secret of Kells,nowomen,0,FAIL,8000000,"France, Belgium, Ireland, Netherlands, USA, Denmark, Brazil, Germany, Austria, Hungary","Animation, Adventure, Family, Fantasy",FALSE,FALSE,TRUE,GKIDS,91
2009,tt0821642,The Soloist,notalk,1,FAIL,60000000,"UK, France, USA","Biography, Drama, Music",FALSE,FALSE,TRUE,Dreamworks/Paramount,57
2009,tt1111422,The Taking of Pelham 123,nowomen,0,FAIL,110000000,"USA, UK","Action, Crime, Thriller",TRUE,TRUE,TRUE,Sony/Columbia Pictures,51
2009,tt1142988,The Ugly Truth,men,2,FAIL,38000000,USA,"Comedy, Romance",FALSE,FALSE,TRUE,Sony/Columbia Pictures,14
2009,tt1139668,The Unborn,ok,3,PASS,16000000,USA,"Drama, Horror, Mystery, Thriller",FALSE,FALSE,TRUE,Rogue Pictures,10
2009,tt0962736,The Young Victoria,ok,3,PASS,35000000,"UK, USA","Biography, Drama, History, Romance",FALSE,FALSE,TRUE,Apparition,77
2009,tt1055369,Transformers: Revenge of the Fallen,ok,3,PASS,210000000,USA,"Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Paramount/Dreamworks,19
2009,tt1049413,Up,notalk,1,FAIL,175000000,USA,"Animation, Adventure, Comedy, Family",FALSE,FALSE,TRUE,Walt Disney Pictures,98
2009,tt1193138,Up in the Air,men,2,FAIL,30000000,USA,"Comedy, Drama, Romance",FALSE,FALSE,TRUE,Paramount Pictures,91
2009,tt1068678,Veronika Decides to Die,ok,3,PASS,9000000,USA,"Drama, Romance",FALSE,FALSE,TRUE,Entertainment One Films,-1
2009,tt0409459,Watchmen,men,2,FAIL,138000000,USA,"Action, Drama, Mystery, Sci-Fi",TRUE,FALSE,TRUE,Warner Bros. Pictures,64
2009,tt0386117,Where the Wild Things Are,notalk,1,FAIL,100000000,"Germany, Australia, USA","Adventure, Drama, Family, Fantasy",FALSE,FALSE,TRUE,Warner Bros. Pictures,73
2009,tt1172233,Whip It,ok,3,PASS,15000000,USA,"Drama, Sport",FALSE,FALSE,TRUE,Fox Searchlight Pictures,84
2009,tt0365929,Whiteout,ok,3,PASS,35000000,"USA, Canada, France, Turkey","Action, Crime, Horror, Mystery, Thriller",TRUE,TRUE,TRUE,Warner Bros. Pictures,7
